"","conc","ab_1","ab_2","ab_3"
"1",42,NA,15,1
"2",51,2,15,1
"3",59,4,15,1
"4",64,6,15,1
"5",76,8,15,1
"6",93,10,15,1
"7",106,12,15,1
"8",125,14,15,1
"9",149,16,15,1
"10",171,18,15,1
"11",199,20,15,1
"12",205,21,15,1
"13",40,NA,17,1
"14",49,2,17,1
"15",58,4,17,1
"16",72,6,17,1
"17",84,8,17,1
"18",103,10,17,1
"19",122,12,17,1
"20",138,14,17,1
"21",162,16,17,1
"22",187,18,17,1
"23",209,20,17,1
"24",215,21,17,1
"25",43,NA,14,1
"26",39,2,14,1
"27",55,4,14,1
"28",67,6,14,1
"29",84,8,14,1
"30",99,10,14,1
"31",115,12,14,1
"32",138,14,14,1
"33",163,16,14,1
"34",187,18,14,1
"35",198,20,14,1
"36",202,21,14,1
"37",42,NA,11,1
"38",49,2,11,1
"39",56,4,11,1
"40",67,6,11,1
"41",74,8,11,1
"42",87,10,11,1
"43",102,12,11,1
"44",108,14,11,1
"45",136,16,11,1
"46",154,18,11,1
"47",160,20,11,1
"48",157,21,11,1
"49",41,NA,18,1
"50",42,2,18,1
"51",48,4,18,1
"52",60,6,18,1
"53",79,8,18,1
"54",106,10,18,1
"55",141,12,18,1
"56",164,14,18,1
"57",197,16,18,1
"58",199,18,18,1
"59",220,20,18,1
"60",223,21,18,1
"61",41,NA,12,1
"62",49,2,12,1
"63",59,4,12,1
"64",74,6,12,1
"65",97,8,12,1
"66",124,10,12,1
"67",141,12,12,1
"68",148,14,12,1
"69",155,16,12,1
"70",160,18,12,1
"71",160,20,12,1
"72",157,21,12,1
"73",41,NA,20,1
"74",49,2,20,1
"75",57,4,20,1
"76",71,6,20,1
"77",89,8,20,1
"78",112,10,20,1
"79",146,12,20,1
"80",174,14,20,1
"81",218,16,20,1
"82",250,18,20,1
"83",288,20,20,1
"84",305,21,20,1
"85",42,NA,8,1
"86",50,2,8,1
"87",61,4,8,1
"88",71,6,8,1
"89",84,8,8,1
"90",93,10,8,1
"91",110,12,8,1
"92",116,14,8,1
"93",126,16,8,1
"94",134,18,8,1
"95",125,20,8,1
"96",42,NA,5,1
"97",51,2,5,1
"98",59,4,5,1
"99",68,6,5,1
"100",85,8,5,1
"101",96,10,5,1
"102",90,12,5,1
"103",92,14,5,1
"104",93,16,5,1
"105",100,18,5,1
"106",100,20,5,1
"107",98,21,5,1
"108",41,NA,7,1
"109",44,2,7,1
"110",52,4,7,1
"111",63,6,7,1
"112",74,8,7,1
"113",81,10,7,1
"114",89,12,7,1
"115",96,14,7,1
"116",101,16,7,1
"117",112,18,7,1
"118",120,20,7,1
"119",124,21,7,1
"120",43,NA,13,1
"121",51,2,13,1
"122",63,4,13,1
"123",84,6,13,1
